Functionality,Gold_Rail_Selection,Ufit_for_SoR,System_Number,Convert_ID,Sheet_Name
Functional,Yes,Yes,1,1,Case_01
Functional,Yes,Yes,2,2,Case_02
Functional,Yes,Yes,3,3,Case_03
Functional,Yes,No,1,4,Case_04
Functional,Yes,No,2,5,Case_05
Functional,Yes,No,3,6,Case_06
Functional,No,Yes,1,7,Case_07
Functional,No,Yes,2,8,Case_08
Functional,No,Yes,3,9,Case_09
Functional,No,No,1,10,Case_10
Functional,No,No,2,11,Case_11
Functional,No,No,3,12,Case_12
Non-functional,Yes,Yes,1,13,Case_13
Non-functional,Yes,Yes,2,14,Case_14
Non-functional,Yes,Yes,3,15,Case_15
Non-functional,Yes,No,1,16,Case_16
Non-functional,Yes,No,2,17,Case_17
Non-functional,Yes,No,3,18,Case_18
Non-functional,No,Yes,1,19,Case_19
Non-functional,No,Yes,2,20,Case_20
Non-functional,No,Yes,3,21,Case_21
Non-functional,No,No,1,22,Case_22
Non-functional,No,No,2,23,Case_23
Non-functional,No,No,3,24,Case_24
