Standard,Functionality,Gold_Rail_Selection,Only_ORv3_MGX_Mini_Rack_wo_L11_Rack,System_Number,Convert_ID,Sheet_Name
"EIA - 19""",Non-functional,Yes,No,1,16,Case_16
"EIA - 19""",Non-functional,No,No,1,22,Case_22
"OCP - 21"" / MGX rack",Non-functional,Yes,No,1,40,Case_40
"OCP - 21"" / MGX rack",Non-functional,No,No,1,46,Case_46
"EIA - 19""",Functional,Yes,No,2,5,Case_05
"EIA - 19""",Functional,No,No,2,11,Case_11
"EIA - 19""",Non-functional,Yes,No,2,17,Case_17
"EIA - 19""",Non-functional,No,No,2,23,Case_23
"OCP - 21"" / MGX rack",Functional,Yes,No,2,29,Case_29
"OCP - 21"" / MGX rack",Functional,No,No,2,35,Case_35
"OCP - 21"" / MGX rack",Non-functional,Yes,No,2,41,Case_41
"OCP - 21"" / MGX rack",Non-functional,No,No,2,47,Case_47
"EIA - 19""",Functional,Yes,No,3,6,Case_06
"EIA - 19""",Functional,No,No,3,12,Case_12
"EIA - 19""",Non-functional,Yes,No,3,18,Case_18
"EIA - 19""",Non-functional,No,No,3,24,Case_24
"OCP - 21"" / MGX rack",Functional,Yes,No,3,30,Case_30
"OCP - 21"" / MGX rack",Functional,No,No,3,36,Case_36
"OCP - 21"" / MGX rack",Non-functional,Yes,No,3,42,Case_42
"OCP - 21"" / MGX rack",Non-functional,No,No,3,48,Case_48
"OCP - 21"" / MGX rack",Non-functional,Yes,Yes,1,37,Case_37
"OCP - 21"" / MGX rack",Non-functional,No,Yes,1,43,Case_43
"OCP - 21"" / MGX rack",Functional,Yes,Yes,2,26,Case_26
"OCP - 21"" / MGX rack",Functional,No,Yes,2,32,Case_32
"OCP - 21"" / MGX rack",Non-functional,Yes,Yes,2,38,Case_38
"OCP - 21"" / MGX rack",Non-functional,No,Yes,2,44,Case_44
